status_id,screen_name,created_at,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive
1418523753110245378,vbw44,2021-07-23T10:49:52Z,11,1,9,13,0,7,1,0,13,2
1418537217828474881,__IC_XC__NIKA__,2021-07-23T11:43:22Z,11,1,9,13,0,7,1,0,13,2
1418523093593690114,dupontaignan,2021-07-23T10:47:15Z,9,0,3,8,1,4,2,1,10,3
1418523164708061187,fbu_82,2021-07-23T10:47:32Z,9,0,3,8,1,4,2,1,10,3
1418523173172166656,NathalieDeBarr1,2021-07-23T10:47:34Z,9,0,3,8,1,4,2,1,10,3
1418523176926121989,Lili__Via,2021-07-23T10:47:34Z,9,0,3,8,1,4,2,1,10,3
1418523212934172675,pam33771,2021-07-23T10:47:43Z,9,0,3,8,1,4,2,1,10,3
1418523213190078468,YvesSud,2021-07-23T10:47:43Z,9,0,3,8,1,4,2,1,10,3
1418523225303228421,Luce24990462,2021-07-23T10:47:46Z,9,0,3,8,1,4,2,1,10,3
1418523266050924544,surcanape,2021-07-23T10:47:56Z,9,0,3,8,1,4,2,1,10,3
1418523272749191171,Emi_FR_,2021-07-23T10:47:57Z,9,0,3,8,1,4,2,1,10,3
1418523339056943108,paxetnovax,2021-07-23T10:48:13Z,9,0,3,8,1,4,2,1,10,3
1418523354294796289,GottofreyMarcel,2021-07-23T10:48:17Z,9,0,3,8,1,4,2,1,10,3
1418523393570258949,Kilukru3,2021-07-23T10:48:26Z,9,0,3,8,1,4,2,1,10,3
1418523411861712896,Marquisette_76,2021-07-23T10:48:30Z,9,0,3,8,1,4,2,1,10,3
1418523422859145217,TNC_freedom,2021-07-23T10:48:33Z,9,0,3,8,1,4,2,1,10,3
1418523465221611520,jacquesbadet,2021-07-23T10:48:43Z,9,0,3,8,1,4,2,1,10,3
1418523481130536966,1Chenapan,2021-07-23T10:48:47Z,9,1,3,7,0,2,0,0,10,2
1418523491536707588,Kaya0421428043,2021-07-23T10:48:49Z,9,0,3,8,1,4,2,1,10,3
1418523505017212928,pharaon_alain,2021-07-23T10:48:53Z,9,0,3,8,1,4,2,1,10,3
1418523522792628226,Eve97120,2021-07-23T10:48:57Z,9,0,3,8,1,4,2,1,10,3
1418523543265071106,DLF_59,2021-07-23T10:49:02Z,9,0,3,8,1,4,2,1,10,3
1418523550508634116,Francois3064,2021-07-23T10:49:03Z,9,0,3,8,1,4,2,1,10,3
1418523566866305026,JeanYvesTarrade,2021-07-23T10:49:07Z,9,0,3,8,1,4,2,1,10,3
1418523580908904448,95DLF,2021-07-23T10:49:11Z,9,0,3,8,1,4,2,1,10,3
1418523582062383109,fightkill631,2021-07-23T10:49:11Z,9,0,3,8,1,4,2,1,10,3
1418523795254546439,Capu_Patriote,2021-07-23T10:50:02Z,9,0,3,8,1,4,2,1,10,3
1418523815399862276,LeRoiArthur16,2021-07-23T10:50:07Z,9,0,3,8,1,4,2,1,10,3
1418523861549817857,POSchenker,2021-07-23T10:50:18Z,9,0,3,8,1,4,2,1,10,3
1418523897494921218,OuthierC,2021-07-23T10:50:26Z,9,0,3,8,1,4,2,1,10,3
1418524078567211009,suivreMonDestin,2021-07-23T10:51:09Z,9,0,3,8,1,4,2,1,10,3
1418524108887822338,Parisien92aze,2021-07-23T10:51:17Z,9,0,3,8,1,4,2,1,10,3
1418524120111853573,Lumen27annis,2021-07-23T10:51:19Z,9,0,3,8,1,4,2,1,10,3
1418524135228071938,debrouille92,2021-07-23T10:51:23Z,9,0,3,8,1,4,2,1,10,3
